City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,newman,37.3138,-121.0208,19.470000000000027,35,2,2.68,US,1730932590
110,vorgashor,67.5833,63.95,-8.399999999999977,96,100,3.08,RU,1730932591
111,richards bay,-28.783,32.0377,17.970000000000027,81,99,3.47,ZA,1730932592
112,puerto natales,-51.7236,-72.4875,11.25,46,20,7.2,CL,1730932412
113,sinabang,2.4803,96.3801,25.53000000000003,82,95,1.39,ID,1730932594
114,thompson,55.7435,-97.8558,-0.9099999999999682,74,100,3.6,CA,1730932595
115,vadso,70.0744,29.7487,2.090000000000032,87,75,5.66,NO,1730932597
116,enewetak,11.3474,162.3373,28.55000000000001,80,33,9.16,MH,1730932451
117,loja,-3.9931,-79.2042,20.670000000000016,44,75,6.17,EC,1730932599
118,saynshand,44.8824,110.1163,1.32000000000005,51,10,1.52,MN,1730932600
119,yellowknife,62.456,-114.3525,-1.4399999999999977,99,75,2.57,CA,1730932447
120,ingeniero jacobacci,-41.3427,-69.5448,17.02000000000004,16,57,6.6,AR,1730932603
121,colipapa,9.4726,122.5616,27.010000000000048,80,20,1.94,PH,1730932604
122,bilibino,68.0546,166.4372,-22.70999999999998,99,100,0.45,RU,1730932605
123,afaahiti,-17.75,-149.2833,25.689999999999998,83,21,8.13,PF,1730932607
124,anori,-3.7728,-61.6442,23.77000000000004,96,100,1.41,BR,1730932608
125,noyabrsk,63.1994,75.4507,-10.909999999999968,94,100,4.71,RU,1730932609
126,kralendijk,12.15,-68.2667,27.99000000000001,78,20,5.14,BQ,1730932611
127,zeliezovce,48.0508,18.6542,5.640000000000043,61,100,1.25,SK,1730932612
128,katsuren-haebaru,26.3369,127.8719,22.010000000000048,66,75,4.12,JP,1730932613
129,aykhal,66.0,111.5,-10.569999999999993,94,100,5.13,RU,1730932614
130,slavyanka,42.8633,131.3847,-1.589999999999975,45,3,2.09,RU,1730932615
131,cruzeiro do sul,-29.5128,-51.9853,25.27000000000004,91,65,1.97,BR,1730932616
132,rebrikha,53.0733,82.3408,1.8400000000000318,51,19,9.89,RU,1730932618
133,san luis de la loma,17.2706,-100.8939,28.310000000000002,76,62,2.04,MX,1730932619
134,atafu village,-8.5421,-172.5159,28.230000000000018,72,39,4.24,TK,1730932417
135,shatrovo,56.5167,64.6333,-5.2099999999999795,90,100,9.33,RU,1730932621
136,talnakh,69.4865,88.3972,-7.939999999999998,93,100,3.77,RU,1730932448
137,morehead city,34.7229,-76.726,23.03000000000003,90,100,1.79,US,1730932623
138,chibougamau,49.9168,-74.3659,1.7900000000000205,93,100,2.57,CA,1730932624
139,conde,-7.2597,-34.9075,25.700000000000045,73,0,4.63,BR,1730932625
140,villa canas,-34.0057,-61.6076,22.75,79,82,3.8,AR,1730932626
141,lashio,22.9333,97.75,15.960000000000036,100,100,0.64,MM,1730932627
142,saipan,15.1355,145.701,27.390000000000043,94,75,7.2,MP,1730932432
143,trairi,-3.2778,-39.2689,25.78000000000003,82,97,5.0,BR,1730932629
144,susuman,62.7833,148.1667,-33.99999999999997,100,92,0.12,RU,1730932631
145,jales,-20.2689,-50.5458,23.79000000000002,78,80,2.72,BR,1730932632
146,selfoss,63.9331,-20.9971,5.580000000000041,90,100,4.21,IS,1730932633
147,mansa,29.9833,75.3833,20.410000000000025,38,0,1.57,IN,1730932635
148,al burayqah,30.4062,19.5739,20.260000000000048,49,0,2.94,LY,1730932636
149,polyarnyy,69.1989,33.4478,1.2900000000000205,90,100,7.16,RU,1730932637
150,daru,-9.0763,143.2092,28.360000000000014,74,96,5.7,PG,1730932638
151,port alfred,-33.5906,26.891,13.910000000000025,66,47,1.25,ZA,1730932641
152,port elizabeth,-33.918,25.5701,12.160000000000025,93,40,0.0,ZA,1730932642
153,nkowakowa,-23.8878,30.2871,16.960000000000036,73,95,1.45,ZA,1730932643
154,haiku-pauwela,20.9219,-156.3051,28.010000000000048,67,20,12.07,US,1730932644
155,miracema do tocantins,-9.5618,-48.3967,26.28000000000003,71,66,1.5,BR,1730932645
156,ayr,55.4627,-4.6339,14.170000000000016,94,75,4.63,GB,1730932646
157,kapa'a,22.0752,-159.319,28.180000000000007,83,40,8.23,US,1730932647
158,port mathurin,-19.6833,63.4167,24.25,75,89,10.51,MU,1730932648
159,sao felix do xingu,-6.6447,-51.995,21.879999999999995,96,88,1.18,BR,1730932649
160,paimio,60.4567,22.6869,5.75,96,75,1.79,FI,1730932650
161,solnechnyy,50.7214,136.6319,-8.319999999999993,65,1,1.4,RU,1730932651
162,gorontalo,0.5412,123.0595,26.970000000000027,82,29,0.47,ID,1730932654
163,fort bragg,35.139,-79.006,26.75,68,0,2.06,US,1730932655
164,thunder bay,48.4001,-89.3168,9.990000000000009,61,75,3.09,CA,1730932656
165,umm kaddadah,13.6017,26.6876,22.850000000000023,23,2,6.96,SD,1730932657
166,komsomol'skiy,43.9783,46.6985,6.760000000000048,82,100,7.31,RU,1730932658
167,hualahuises,24.8847,-99.6733,28.32000000000005,42,0,1.96,MX,1730932659
168,timimoun,29.2639,0.231,23.620000000000005,26,17,2.56,DZ,1730932660
169,mogocha,53.7333,119.7667,-15.259999999999991,98,81,0.62,RU,1730932661
170,tangshan,39.6333,118.1833,6.9500000000000455,52,62,0.61,CN,1730932662
171,juneau,58.3019,-134.4197,5.230000000000018,95,100,1.54,US,1730932663
172,yelizovo,53.1873,158.3805,-6.919999999999959,49,0,2.0,RU,1730932665
173,papao,-17.75,-149.55,28.82000000000005,76,21,5.34,PF,1730932666
174,el granada,37.5027,-122.4694,21.360000000000014,27,0,8.75,US,1730932667
175,hami,42.8,93.45,7.75,43,66,4.43,CN,1730932668
176,amga,60.8953,131.9608,-26.059999999999974,99,69,1.12,RU,1730932669
177,moree,-29.4667,149.85,35.170000000000016,25,43,6.66,AU,1730932606
178,ilha de mocambique,-15.0342,40.7358,26.27000000000004,89,2,4.11,MZ,1730932671
179,pucheng,27.9233,118.5333,8.670000000000016,83,0,0.54,CN,1730932672
180,badger,64.8,-147.5333,-5.0,86,75,2.06,US,1730932673
